Ranking,University,Location,Year
461-470,Wayne State University,"Detroit, United States",2017
471-480,Universidad de Santiago de Chile (USACH),"Santiago, Chile",2017
471-480,Universidad de Costa Rica,"San Jose, Costa Rica",2017
471-480,Middle East Technical University,"Ankara, Turkey",2017
471-480,Bogaziçi Üniversitesi,"Istanbul, Turkey",2017
471-480,Clark University,"Worcester, United States",2017
471-480,Lappeenranta-Lahti University of Technology LUT,"Lappeenranta , Finland",2017
471-480,East China University of Science and Technology,"Shanghai, China (Mainland)",2017
471-480,Technische Universität Braunschweig,"Braunschweig, Germany",2017
471-480,Tokyo Metropolitan University,"Tokyo, Japan",2017
471-480,University of Saskatchewan,"Saskatoon, Canada",2017
481-490,Pontificia Universidad Católica del Perú,"Lima, Peru",2017
481-490,"University of Rome ""Tor Vergata""","Rome, Italy",2017
481-490,University of Naples - Federico II,"Naples, Italy",2017
481-490,Hitotsubashi University,"Kunitachi City, Japan",2017
481-490,Dalian University of Technology,"Dalian, China (Mainland)",2017
481-490,Indian Institute of Technology Guwahati (IITG),"Guwahati, India",2017
481-490,Lehigh University,"Bethlehem, United States",2017
481-490,Tianjin University,"Nankai, China (Mainland)",2017
481-490,Universidad de Zaragoza,"Huesca, Spain",2017
481-490,Vilnius University,"Vilnius, Lithuania",2017
491-500,Aristotle University of Thessaloniki,"Thessaloniki, Greece",2017
491-500,Università Cattolica del Sacro Cuore,"Milan, Italy",2017
491-500,Aberystwyth University,"Aberystwyth, United Kingdom",2017
491-500,Iran University of Science and Technology,"Tehran, Iran, Islamic Republic of",2017
491-500,Jilin University,"Changchun, China (Mainland)",2017
491-500,The Catholic University of Korea,"Gyeonggi, South Korea",2017
491-500,Saint Joseph University of Beirut (USJ),"Beirut, Lebanon",2017
491-500,University of Nebraska - Lincoln,"Lincoln, United States",2017
491-500,University of South Florida,"Tampa, United States",2017
491-500,Yokohama City University,"Yokohama City, Japan",2017
501-550,Gadjah Mada University,"Yogyakarta, Indonesia",2017
501-550,University of Delhi,"New Delhi, India",2017
501-550,City University of New York,"New York City, United States",2017
501-550,University of Bordeaux,"Talence, France",2017
501-550,Pontifícia Universidade Católica do Rio de Janeiro,"Rio de Janeiro, Brazil",2017
501-550,University of Granada,"Granada, Spain",2017
501-550,Université du Québec,"Québec, Canada",2017
501-550,Universität  Leipzig,"Leipzig, Germany",2017
