Ranking,University,Location,Overall Score,Academic Reputation,Employer Reputation,Faculty Student Ratio,Citations per Faculty,International Faculty Ratio,International Students Ratio
65,Monash University,"Melbourne, Australia",71.6,91.8,93.1,,64.2,100,96.4
66,University of Illinois at Urbana-Champaign,"Champaign, United States",71.4,95.1,62.2,,93.8,35.3,71.2
67,University of Texas at Austin,"Austin, United States",70.7,97.5,82.9,,96.1,,22.6
=68,Ludwig-Maximilians-Universität München,"Munich, Germany",70.2,96.1,83.5,43.6,49.3,58.6,39
=68,National Taiwan University (NTU),"Taipei City, Taiwan",70.2,95.7,68.9,36,80.7,,
=68,University of Copenhagen,"Copenhagen, Denmark",70.2,81.9,64.8,100,25,86,31.3
71,Georgia Institute of Technology,"Atlanta, United States",69.8,76.1,78,48.8,86,,87.5
72,Ruprecht-Karls-Universität Heidelberg,"Heidelberg, Germany",69.7,90.1,70.5,69.7,36.4,48.4,59.5
73,Lund University,"Lund, Sweden",69.1,82,78.8,49.3,51.7,89.1,73.3
74,Durham University,"Durham, United Kingdom",68.8,64.9,95.7,30.7,89.5,94,87.6
=75,Tohoku University,"Sendai City, Japan",68.7,78.7,57.5,97.9,52.3,,
=75,University of Nottingham,"Nottingham, United Kingdom",68.7,71.4,91.3,59,50.7,90.3,87.9
77,University of St Andrews,"St. Andrews, United Kingdom",68.2,54.3,58.4,73,79.2,98.2,99.9
78,"University of North Carolina, Chapel Hill","Chapel Hill, United States",68.1,76.9,44.8,77.1,74.7,34.2,
79,KU Leuven,"Leuven, Belgium",67.9,87.4,71.6,,89.4,83.7,41.3
80,University of Zurich,"Zürich, Switzerland",67.8,68.6,69.3,95.8,29.9,100,62.2
81,The University of Auckland,"Auckland, New Zealand",67.3,90.1,85.8,,50,86.5,89.5
82,University of Birmingham,"Birmingham, United Kingdom",67.2,73.9,88.7,49.3,50.1,90.3,84.3
83,Pohang University of Science And Technology (POSTECH),"Pohang , South Korea",67,47,57.3,99.5,100,44.5,
84,The University of Sheffield,"Sheffield, United Kingdom",66.9,70.3,66.2,62.7,52,84.8,97.1
=85,Universidad de Buenos Aires (UBA),"Buenos Aires, Argentina",65.8,92.8,98.9,65.2,,46.4,58.4
=85,"University of California, Davis","Davis, United States",65.8,80.6,49.9,25.6,88.7,65.5,47.6
87,University of Southampton,"Southampton, United Kingdom",65.6,63.3,48.2,72.8,56.2,93.3,96
88,The Ohio State University,"Columbus, United States",65.4,75.5,52,77.2,40.1,81.3,48.1
89,Boston University,"Boston, United States",65.2,71.3,83.9,56.5,63.1,,77.7
90,Rice University,"Houston, United States",65,43,,85.4,98,89.2,88.8
91,University of Helsinki,"Helsinki, Finland",64.7,75.5,57.2,93.7,31.2,65,
92,Purdue University,"West Lafayette, United States",64.5,74.5,70.8,30.2,63.6,96.1,77.4
93,University of Leeds,"Leeds, United Kingdom",64.2,72,81.8,49.3,47.3,77.9,77.4
94,University of Alberta,"Edmonton, Canada",64,70.6,61.9,53.5,49.8,92.6,83.5
=95,Pennsylvania State University,"University Park, United States",63.6,81.3,72.1,,81.6,,44.1
=95,University of Geneva,"Geneva, Switzerland",63.6,57.8,31.4,53.7,81.9,100,99.5
97,KTH Royal Institute of Technology,"Stockholm, Sweden",63.1,52.2,88.1,62,71.3,90.6,42.9
=98,Uppsala University,"Uppsala, Sweden",62.8,77.6,53.1,48.5,59.5,24.6,71.6
=98,Korea University,"Seoul, South Korea",62.8,70.8,82.6,82.9,34.9,18.8,35.1
=98,"Trinity College Dublin, The University of Dublin","Dublin, Ireland",62.8,68.2,57.8,39.6,62.4,98,85.9
=98,"KIT, Karlsruhe Institute of Technology","Karlsruhe, Germany",62.8,57.4,94.8,66,58.7,58.4,49.6
=102,Leiden University,"Leiden, Netherlands",62.7,78.8,43.9,38.7,69.9,71,30.6
=102,The University of Western Australia,"Perth, Australia",62.7,71.8,55.2,30.2,73.7,99.5,51.9
=104,Utrecht University,"Utrecht, Netherlands",62.4,74.6,52.5,41.8,76.4,59.3,
=104,University of Science and Technology of China,"Hefei, China (Mainland)",62.4,63.4,48.2,60.8,97.4,,
=106,Sungkyunkwan University(SKKU),"Suwon, South Korea",62.2,65.2,98.1,84.6,36.9,17.6,23.1
=106,Washington University in St. Louis,"St. Louis, United States",62.2,53.1,,99.9,69.9,29.9,65.8
108,Lomonosov Moscow State University,"Moscow, Russia",62.1,77.1,69.3,99.7,,,51.9
109,Technical University of Denmark,"Kongens Lyngby, Denmark",61.8,34.5,43.8,98.9,74,98.7,78
110,Zhejiang University,"Hangzhou, China (Mainland)",61.6,73.2,80.3,27,89,,
111,The Hong Kong Polytechnic University,"Hong Kong, Hong Kong SAR",61.4,63.8,51.6,48.1,59.3,100,80.9
112,Yonsei University,"Seoul, South Korea",60.5,70.7,82.9,74.5,33.6,,30.6
=113,University of Oslo,"Oslo, Norway",60,61,39.6,64,56.7,80.3,67.2
=113,University of Groningen,"Groningen, Netherlands",60,59.6,41.7,67,45,88.7,98.4
=115,Nanjing University,"Nanjing, China (Mainland)",59.6,69,57.6,26.6,83.8,59.4,23.1
=115,Nagoya University,"Nagoya, Japan",59.6,68.2,42,93.9,38.2,,21.5
117,Aarhus University,Denmark,59.5,66.3,52.1,35,75.8,68,44.3
118,"University of California, Santa Barbara (UCSB)","Santa Barbara, United States",59.4,77,,,100,61.5,40.1
119,Wageningen University & Research,"Wageningen, Netherlands",59.1,47.7,31.8,99.5,50.8,45.1,88.6
120,Universidade de São Paulo,"São Paulo, Brazil",59,93.3,94.4,30.9,27,,
=121,Humboldt-Universität zu Berlin,"Berlin, Germany",58.9,93.9,65.2,,35.1,57.3,39.8
=121,Eindhoven University of Technology,"Eindhoven, Netherlands",58.9,41.8,44.8,99,57.2,100,24.7
=123,Freie Universitaet Berlin,"Berlin, Germany",58.7,88.4,55.9,,51.8,59.8,50.8
=123,Queen Mary University of London,"London, United Kingdom",58.7,53.6,45.3,64.7,47.7,98.6,99.8
125,The University of Adelaide,"Adelaide, Australia",58.6,67.4,62.3,29.7,48,94.5,99.2
126,Université de Montréal,"Montreal, Canada",58.5,69.3,66.2,28.2,48.5,93.3,79.9
127,University of York,"York, United Kingdom",58.4,54.9,54.4,53.2,60,89.6,74.6
128,Universidad Nacional Autónoma de México  (UNAM),"Mexico City, Mexico",58.3,94.3,92.3,49.6,,,
129,Lancaster University,"Lancaster, United Kingdom",57.9,48.9,51.5,42.3,74.9,91.9,98.1
130,Hokkaido University,"Sapporo, Japan",57.8,67.3,49.9,84.4,38.1,,
=131,Ghent University,"Ghent, Belgium",57.6,61.9,43.1,88.7,33.7,57.5,23
=131,"University of Maryland, College Park","College Park, United States",57.6,61.3,33.4,55.5,77.3,30.1,33.2
=133,Universiti Malaya (UM),"Kuala Lumpur, Malaysia",57.1,55.7,48,92.2,,77.7,70.5
=133,Aalto University,"Espoo, Finland",57.1,45.8,55.9,79.6,57.9,81.6,30
135,Kyushu University,"Fukuoka City, Japan",56.8,62.1,53.4,96.5,27,16.7,22.2
136,University of Southern California,"Los Angeles, United States",56.7,63,50.2,33.4,69.1,44.6,75
137,University of Minnesota Twin Cities,"Minneapolis, United States",56.4,76.8,40.5,,86.9,,26.3
138,University of Lausanne,"Lausanne, Switzerland",56.3,44.8,49.9,89.2,31.6,99.4,80.2
139,Chalmers University of Technology,"Gothenburg, Sweden",56.1,37.7,76,62,70.7,83.6,51.9
140,Cardiff University,"Cardiff, United Kingdom",55.7,54.7,58.1,54.1,45,69.3,92.4
=141,Université Pierre et Marie Curie (UPMC),"Paris, France",55.6,63.5,45.6,27.3,82.2,27.8,46.9
=141,University of Basel,"Basel, Switzerland",55.6,45.3,35.3,29.1,95.2,100,77.8
=141,University of Aberdeen,"Aberdeen, United Kingdom",55.6,42.6,47.3,63.7,56.1,95.9,97.6
144,Erasmus University Rotterdam,"Rotterdam, Netherlands",55.5,45,85.7,44.9,65.9,63.5,70.6
145,University of Pittsburgh,"Pittsburgh, United States",55.1,48.2,,97.4,52.9,40.1,25.7
146,RWTH Aachen University,"Aachen, Germany",55,69.2,96.9,,44.9,30.9,57.1
147,Pontificia Universidad Católica de Chile (UC),"Santiago, Chile",54.7,89.7,98.3,28.9,,,
148,The Hebrew University of Jerusalem,"Jerusalem, Israel",54.2,56,,79.5,51.4,51.6,
=149,McMaster University,"Hamilton, Canada",54.1,51.6,50.8,68.9,37.9,93,44.9
=149,Emory University,"Atlanta, United States",54.1,34.9,,93,72.9,51.2,51.4
151,National Tsing Hua University,"Hsinchu City, Taiwan",53.9,56.8,42.2,,99.6,32.1,
=152,University of Waterloo,"Waterloo, Canada",53.8,49.7,76.2,,84,81.4,74.8
=152,Indian Institute of Science,"Bangalore, India",53.8,42.4,,69.3,99.9,,
154,Université catholique de Louvain (UCLouvain),"Louvain-la-Neuve, Belgium",53.4,65.1,62.3,30.2,37.8,86.3,61.8
155,University of Vienna,"Vienna, Austria",53.3,74.9,46.7,,,96.9,94.4
156,"University of California, Irvine","Irvine, United States",53.2,54.9,,,93.1,51.8,80.2
157,University of Liverpool,"Liverpool, United Kingdom",53.1,46.1,52.3,57.7,43.2,83.5,97.1
158,Dartmouth College,"Hanover, United States",53,31.4,59,86.3,74.3,,44.5
159,University of Bath,"Bath, United Kingdom",52.7,43.5,78.7,28.5,61.1,95,91.7
=160,Universitat de Barcelona,"Barcelona, Spain",52.6,79.5,66.4,28.4,32.4,,36.1
=160,Texas A&M University,"Galveston, United States",52.6,68.7,59,,83.1,,
=160,Michigan State University,"East Lansing, United States",52.6,63.5,58.2,,62.5,61.8,50.4
163,Albert-Ludwigs-Universitaet Freiburg,"Freiburg im Breisgau, Germany",52.2,63.7,,39,54.7,57.3,44.5
=164,Technische Universität Berlin (TU Berlin),"Berlin, Germany",52.1,61.3,78.7,42.7,30,39.8,61.8
=164,The University of Exeter,"Exeter, United Kingdom",52.1,43.2,62.6,38.6,60,88.3,85.7
=164,CentraleSupélec,"Saint-Aubin, France",52.1,,100,88.5,37.1,45.4,92.7
167,Eberhard Karls Universität Tübingen,"Tübingen, Germany",51.9,56,48,82.3,,55.7,28.4
168,Newcastle University,"Newcastle upon Tyne, United Kingdom",51.8,40.9,58.4,54.8,46.6,87.9,93.9
169,University of Otago,"Dunedin, New Zealand",51.3,57.9,45,,52.8,100,67.9
170,University of Colorado Boulder,"Boulder, United States",51.2,51,44,64.8,53.9,37.4,
171,Hanyang University,"Seoul, South Korea",50.6,44.7,63.3,86.2,28.8,26.7,41.4
172,University of Virginia,"Charlottesville, United States",50.5,45.3,47.5,63.6,54.9,51.2,27.8
173,Maastricht University,"Maastricht, Netherlands",50.3,30.2,59.8,48.2,62.6,94.9,99.9
174,National Chiao Tung University,"Hsinchu City, Taiwan",50.1,33.3,,60.2,85.8,37.9,55.5
175,University of Reading,"Reading, United Kingdom",50,38.6,52.2,38.2,61.8,89,93.8
176,University College Dublin,"Dublin, Ireland",49.7,49.8,60.2,,56.5,93.1,60.7
=177,University of Göttingen,"Göttingen, Germany",49.6,62.5,,66.1,24.3,42.1,32.3
=177,École Normale Supérieure de Lyon,"Lyon, France",49.6,49.4,,100,,37.4,27.6
=177,University of Bergen,"Bergen, Norway",49.6,37.9,,82,53.3,86.1,
=177,University of Twente,"Enschede, Netherlands",49.6,29,,42.1,95.6,87.8,70.4
181,University of Bern,"Bern, Switzerland",49.3,36.1,33.6,27.8,93.7,100,39.9
182,Vrije Universiteit Brussel (VUB),"Brussels, Belgium",48.9,33,48.4,96.6,,79.3,67.4
=183,Politecnico di Milano,"Milan, Italy",48.8,57.2,89.6,,57.7,40.1,41.4
=183,Technische Universität Wien,"Vienna, Austria",48.8,39.4,67.7,,87.2,65.7,88.1
=185,University of Florida,"Gainesville, United States",48.6,56.8,34.8,62,40.7,,21.1
=185,University of Rochester,"Rochester, United States",48.6,29.9,,99.9,49.2,31.4,83.9
=185,Indian Institute of Technology Delhi (IITD),"New Delhi, India",48.6,47.2,75.2,,93.2,,
=187,University of Illinois at Chicago (UIC),"Chicago, United States",48.4,52.1,41.7,46.8,44.8,51.8,48.3
=187,University of Sussex,"Brighton, United Kingdom",48.4,37.4,,33.3,73,98.1,97.9
189,King Fahd University of Petroleum & Minerals,"Dhahran, Saudi Arabia",48.3,29.3,40.3,89,31.4,100,64.4
190,Radboud University,"Nijmegen, Netherlands",48.2,38.6,,50.4,78.4,51.8,33.9
=191,Universidade Estadual de Campinas (Unicamp),"Campinas, Brazil",48,70.5,79.2,,33.6,,
=191,University of Cape Town,"Cape Town, South Africa",48,58.1,48.1,26.6,42.3,69.3,51.6
193,University of Technology Sydney,"Haymarket, Australia",47.8,48.8,81,,37.7,96.7,94.6
195,Queen's University Belfast,United Kingdom,47.5,36.2,55.2,42.7,45.3,98.8,94.5
=196,Stockholm University,"Stockholm, Sweden",47.2,66.3,35.3,,49.5,38.1,
=196,University of Calgary,"Calgary, Canada",47.2,45,65.9,29.6,46.3,80.4,65
198,Western University,"London, Canada",47.1,39.9,60.2,,73.5,99.2,56.1
199,Vrije Universiteit Amsterdam,"Amsterdam, Netherlands",46.8,52.3,50.7,33.3,56.1,45,
200,Universidad de Chile,"Santiago, Chile",46.7,78.6,92.5,,,,
201,Waseda University,"Tokyo, Japan",46.5,68.1,84.5,29.2,,31.7,37.2
202,Case Western Reserve University,"Cleveland, United States",46.4,,,96.8,59.3,29.9,64.2
=203,Universitat Autònoma de Barcelona,"Barcelona, Spain",46.3,68.7,37.5,,42.4,22.2,28
=203,Vanderbilt University,"Nashville, United States",46.3,37.7,,100,35.8,,34.5
=203,University of Notre Dame,"Notre Dame, United States",46.3,33.2,43.7,41,80.1,65,22.3
=206,Université Grenoble Alpes,"Grenoble, France",46.1,79.2,,,36.5,,38.3
=206,Tecnológico de Monterrey,"Monterrey, Mexico",46.1,36,92.6,75.6,,94.9,35.3
208,Alma Mater Studiorum - University of Bologna,"Bologna, Italy",46,80.2,54.5,,29.8,,
209,University of Antwerp,"Antwerp, Belgium",45.8,33.9,33,93.1,22.1,67,48.4
