Ranking,University,Location,Overall Score,Academic Reputation,Employer Reputation,Faculty Student Ratio,Citations per Faculty,International Faculty Ratio,International Students Ratio
=283,University College Cork,"Cork, Ireland",37.6,31.1,44.8,29.5,38.1,93.1,47
=283,King Abdulaziz University (KAU),"Jeddah, Saudi Arabia",37.6,27.3,,66.5,,99,68.1
=283,Dalhousie University,"Halifax, Canada",37.6,,,,65.5,100,60.2
=288,University of South Australia,"Magill, Australia",37.4,28.8,41.6,28.5,37.3,100,65.5
=288,Universiti Teknologi Malaysia,"Skudai, Malaysia",37.4,,,82.9,,56.8,41.3
=288,University of St.Gallen (HSG),"St. Gallen, Switzerland",37.4,,94.3,,61.9,100,97
=291,Indiana University Bloomington,"Bloomington, United States",37.3,53.1,42.2,,22.1,33.7,26.3
=291,University of Ottawa,"Ottawa, Canada",37.3,34.8,,,59.8,86.6,51
=291,Novosibirsk State University,"Novosibirsk , Russia",37.3,28.9,34.2,86.6,,,56
=294,Westfälische Wilhelms-Universität Münster,"Münster, Germany",37.2,39.8,53.5,45,24.9,25.1,
=294,Umea University,"Umeå, Sweden",37.2,,,85.5,24.3,31.9,
296,"University of California, Santa Cruz","Santa Cruz, United States",37.1,31.1,,,92,45.7,
=297,Sun Yat-sen University,"Guangzhou, China (Mainland)",37,41.2,39,,50.1,39.6,
=297,Hiroshima University,"Higashihiroshima City, Japan",37,34.3,,86,,,
=299,Universität Innsbruck,"Innsbruck, Austria",36.9,31.4,38.4,33.1,,97.2,99.2
=299,Boston College,"Newton, United States",36.9,28.8,44.3,,56.3,95.5,24.5
301,Rutgers University–New Brunswick,"New Brunswick, United States",36.8,43.8,,34.8,35.7,21.1,27.1
=302,Charles University,"Prague, Czech Republic",36.7,48.7,44.9,37.6,,,45
=302,Universiti Kebangsaan Malaysia (UKM),"Bangi, Malaysia",36.7,40,,53.9,,55,44
=302,Indian Institute of Technology Kanpur (IITK),"Kanpur, India",36.7,36.9,49.9,,64.2,,
305,Politecnico di Torino,"Turin, Italy",36.4,32.6,63.7,,70.7,,45.7
=306,Curtin University,"Perth, Australia",36.3,30.7,39,,33.4,100,74.4
=306,Bauman Moscow State Technical University,"Moscow, Russia",36.3,,50.4,100,,,
=308,Universidad Austral,"Pilar, Argentina",36.2,28.4,61.9,86.7,,,
=308,National Yang Ming University,"Taipei City, Taiwan",36.2,,,99.5,38.9,,
=310,National Taiwan Normal University,"Taipei City, Taiwan",36,37.8,,59.3,,16.9,76.3
=310,Pontificia Universidad Católica Argentina,"Buenos Aires, Argentina",36,29,85.9,72.6,,,22.4
=310,Rensselaer Polytechnic Institute,"Troy, United States",36,,,,95.6,,39.9
313,Indian Institute of Technology Kharagpur (IIT-KGP),"Kharagpur, India",35.9,28.7,50.6,,83.9,,
314,"City, University of London","London, United Kingdom",35.8,,65.5,,33.3,96,100
=315,Nankai University,"Tianjin, China (Mainland)",35.7,35.5,,,70.3,,
=315,Tongji University,"Shanghai, China (Mainland)",35.7,35.5,30.8,29.1,38.5,68.5,26.8
=315,Université de Liège,"Arlon, Belgium",35.7,,,,71.3,,65.5
318,Xi’an Jiaotong University,"Xi'an, China (Mainland)",35.6,33.5,,49.3,38.5,23.4,
319,Tampere University of Technology,"Tampere, Finland",35.5,,31.1,94.1,,55.3,21
320,Ben-Gurion University of The Negev,"Be'er Sheva, Israel",35.4,,,28.3,51.8,76.8,59.6
=321,Universidade Federal do Rio de Janeiro,"Rio de Janeiro, Brazil",35.3,61.6,,,,,
=321,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),"Barcelona, Spain",35.3,35.1,42.4,50.4,24.1,,33
323,University of Porto,"Porto, Portugal",35.2,41.7,39.5,,54.4,,
324,University of Waikato,"Hamilton , New Zealand",35.1,,36.5,,53.1,97.3,79.9
=325,Universitas Indonesia,"Depok, Indonesia",35,42.6,54.5,42.4,,68.1,
=325,University of Victoria (UVic),"Victoria, Canada",35,,,,75.4,82.9,47.2
=327,Université de Montpellier,"Montpellier, France",34.8,46.8,32.5,,39.5,,41
=327,Heriot-Watt University,"Edinburgh, United Kingdom",34.8,,45.5,34.2,36.2,98.6,99.6
329,Tokyo Medical and Dental University (TMDU),"Tokyo, Japan",34.7,,,100,26.1,,
=330,University of Lisbon,"Lisbon , Portugal",34.6,42.4,50.7,,40.8,,23.1
=330,Universiti Sains Malaysia (USM),"Gelugor, Malaysia",34.6,40.3,34.7,36.8,25.9,23.4,25.8
=330,Tilburg University,"Tilburg, Netherlands",34.6,,36.9,,68.3,87,37.9
=330,"Essex, University of","Colchester, United Kingdom",34.6,,,,47.6,99.2,99.8
=330,Yeshiva University,"New York City, United States",34.6,,,98.8,56.6,,24.7
335,Ewha Womans University,"Seoul, South Korea",34.5,,,80.8,,,35.1
336,Griffith University,"Nathan, Australia",34.4,31.7,32.5,,36.5,98,64.1
337,Gwangju Institute of Science and Technology (GIST),"Gwangju, South Korea",34.3,,,35,100,,
=338,Università di Padova,"Padua, Italy",34.2,56,,,24.3,,
=338,University of Jyväskylä,"Jyväskylä, Finland",34.2,,,81.7,,36.7,
=340,Massey University,"Palmerston North, New Zealand",34.1,33.7,,,,96.5,73.4
=340,James Cook University,"Townsville, Australia",34.1,,,,49.4,96.9,83.9
342,University at Buffalo SUNY,"Buffalo, United States",34,,,,72.9,68,66.4
=343,Lincoln University,"Lincoln, New Zealand",33.9,,,58,37.9,91.7,93.9
=343,University of Hawaiʻi at Mānoa,"Honolulu, United States",33.9,,,56.6,40.2,64.7,25.8
=345,Brunel University London,United Kingdom,33.8,,,,48.8,97.5,99.6
=345,L.N. Gumilyov Eurasian National University (ENU),"Nur-Sultan, Kazakhstan",33.8,,,99.6,,28.9,
=347,University of Cologne,"Cologne, Germany",33.6,42.9,54.9,,,32.2,28.7
=347,University of Tartu,"Tartu, Estonia",33.6,28.7,,72.9,,17.4,
=347,University Ulm,"Ulm, Germany",33.6,,,64.7,52.6,52.9,33.7
=350,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),"Dolgoprudny, Russia",33.4,,,98.4,,22.8,36.5
=350,MGIMO University,"Moscow, Russia",33.4,,32.1,99.4,,,36.1
=352,Universität Konstanz,"Konstanz, Germany",33.2,33.7,,40.4,23.2,58.7,33
=352,Universidad de Belgrano,"Buenos Aires, Argentina",33.2,,60.5,80.6,,,89.9
354,Belarusian State University,"Minsk, Belarus",33,,,92.4,,,22.9
355,Deakin University,"Geelong, Australia",32.9,31.9,38.5,,35.7,98.5,54.8
356,"Université Paris-Dauphine, Université PSL","Paris, France",32.8,31.2,67,,,45,86.2
358,Aston University,"Birmingham, United Kingdom",32.7,,43.3,,38.3,98.1,82.1
=359,University of Witwatersrand,"Johannesburg, South Africa",32.6,33.9,34.2,,30.3,95.9,
=359,Oxford Brookes University,United Kingdom,32.6,30.9,69,,,66,84.8
=361,Virginia Polytechnic Institute and State University,"Blacksburg, United States",32.4,31.8,40.2,25.6,42.2,20.4,21.4
=361,Northeastern University,"Boston, United States",32.4,,37.5,27.4,40,57,96.2
=363,George Washington University,"Ashburn, United States",32.3,32.4,37.8,27.1,29.6,35.3,47.9
=363,Universität Jena,"Jena, Germany",32.3,,,78.2,22,,33.2
365,The American University in Cairo,"Cairo, Egypt",32.2,31.6,61.4,35.5,,96.9,
=366,University of Warsaw,"Warsaw, Poland",32.1,42.5,48.1,35.4,,,
=366,Universidade Nova de Lisboa,"Lisbon, Portugal",32.1,29.3,51.7,38.7,21.4,36.1,26.6
=366,University of Kent,"Paris, United Kingdom",32.1,,,32.4,25.6,97.7,90.7
369,Kobe University,"Kobe City, Japan",32,31.7,30.8,59.2,,,
=370,University of Milan,"Milan, Italy",31.9,48.2,,,34.4,,
=370,University of Tasmania,"Hobart, Australia",31.9,,,,35.7,92.6,75.9
372,Université Laval,"Québec, Canada",31.8,29,,29.1,31.5,69.9,35
373,University of Kansas,"Lawrence, United States",31.7,,,76.9,24.3,17.6,21.6
=374,University of the Philippines,"Quezon City, Philippines",31.5,42.5,46.9,46,,,
=374,Aalborg University,"Aalborg, Denmark",31.5,,48.6,,27.3,72.2,47.3
=374,"University of Colorado, Denver","Denver, United States",31.5,,,100,,,22.1
=377,Université Paris Descartes,"Paris , France",31.4,30.8,,32,37.5,19.6,53.2
=377,Tomsk State University,"Tomsk, Russia",31.4,,,83.5,,23.7,57.3
=377,University of Tromsø The Arctic University of Norway,"Tromsø, Norway",31.4,,,96.7,,17.3,29.9
=380,Dublin City University,"Dublin, Ireland",31.3,,36.9,36.2,24,86.1,57.5
=380,University of Texas Dallas,"Richardson, United States",31.3,,,,88.9,,48
=382,University of Eastern Finland,"Kuopio, Finland",31.2,,,62.1,27.6,42.9,
=382,V. N. Karazin Kharkiv National University,"Kharkiv, Ukraine",31.2,,,88.4,,,97.7
384,American University,"Washington D.C., United States",31.1,35.4,55.7,30.8,,,35.2
385,University of Stirling,"Stirling, United Kingdom",31,,,,56.5,73,64.2
=386,Colorado State University,"Fort Collins, United States",30.9,29.8,36.6,,49.5,22.7,
=386,Chung-Ang University (CAU),"Seoul, South Korea",30.9,,,82.6,,17.3,37.3
=386,La Trobe University,"Melbourne, Australia",30.9,,30.8,,26,97.8,95.1
389,Beijing Institute of Technology,"Beijing, China (Mainland)",30.8,33.3,31.5,31,37.7,,
=390,"Stony Brook University, State University of New York","Stony Brook, United States",30.7,,,40.4,41.9,,86.6
=390,Swansea University,"Swansea, United Kingdom",30.7,,,40.1,32.2,67.9,70.1
=390,University of Southern Denmark (SDU),"Odense, Denmark",30.7,,,37.9,25.5,76,49.6
=393,University of Iowa,"Iowa City, United States",30.6,28.8,,36,43.7,,33.4
=393,Qatar University,"Doha, Qatar",30.6,,,53.7,,100,99.9
=395,Stellenbosch University,"Stellenbosch, South Africa",30.5,32.2,,,44.7,74.4,
=395,Washington State University,"Pullman, United States",30.5,31.7,,,33.2,68,
=395,National Sun Yat-sen University,"Kaohsiung City, Taiwan",30.5,28.2,,,58.2,16.6,
=395,National Technical University of Athens,"Athens, Greece",30.5,,58.7,,48.7,,
399,Indian Institute of Technology Roorkee (IITR),"Roorkee, India",30.4,,32,,80.4,,
=400,Leibniz University Hannover,"Hanover, Germany",30.3,,,,83.4,,26.6
=400,National Research Tomsk Polytechnic University,Russia,30.3,,,94.6,,20.8,76.3
401-410,Bandung Institute of Technology (ITB),"Bandung, Indonesia",,47.4,51.3,,,17.6,
401-410,Brandeis University,"Waltham, United States",,,,25.7,51.6,16.3,80.9
401-410,Illinois Institute of Technology,"Chicago, United States",,,,26.9,39.4,17.3,100
401-410,Johannes Gutenberg Universität Mainz,"Mainz, Germany",,,,47.5,,36.5,26.1
401-410,Khalifa University of Science and Technology,"Abu Dhabi, United Arab Emirates",,,,80.6,,100,47.3
401-410,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),"Moscow, Russia",,,,93.4,,28,43
401-410,Taipei Medical University (TMU),"Taipei City, Taiwan",,,,74,,20,
401-410,Universidad Externado de Colombia,"Bogotá, Colombia",,,47.8,99.8,,,
401-410,Wake Forest University,"Winston-Salem, United States",,,,100,24.2,,
411-420,Aix-Marseille University,"Marseille, France",,44.6,,,22.2,20.9,33.6
411-420,Bilkent University,"Ankara, Turkey",,28.8,38.4,,30.1,58.8,
411-420,Sogang University,"Seoul, South Korea",,27.3,41.2,50.4,,,
411-420,Bangor University,United Kingdom,,,,,54.9,61.8,80
411-420,Satbayev University,"Almaty, Kazakhstan",,,,93,,,
411-420,National Central University,"Taoyuan City, Taiwan",,,,32.9,43.8,16.4,
411-420,HSE University,"Moscow, Russia",,,,92.7,,,
411-420,Peter the Great St. Petersburg Polytechnic University,"St. Petersburg, Russia",,,,94.1,,,41.6
411-420,United Arab Emirates University,"Al Ain, United Arab Emirates",,,,38.6,,100,85.6
411-420,Universität Mannheim,"Mannheim, Germany",,,79.1,,25.1,33.4,
411-420,University of Delaware,"Newark, United States",,,,,80.9,34.8,27.9
411-420,University of Oulu,"Oulu, Finland",,,,48.9,35.5,30.5,
411-420,University of Utah,"Salt Lake City, United States",,,,46.2,49.8,,24.7
421-430,Renmin (People's) University of China,"Beijing, China (Mainland)",,38.3,34.6,38.8,,,
421-430,Julius-Maximilians-Universität Würzburg,"Würzburg, Germany",,28.4,,,53,32.6,
421-430,Iowa State University,"Ames, United States",,27.8,,,57.8,,29.1
421-430,Christian-Albrechts-University zu Kiel,"Kiel, Germany",,,,57.1,22.6,,
421-430,"Goldsmiths, University of London","London, United Kingdom",,,,,,86.1,97.9
421-430,Institut National des Sciences Appliquées de Lyon (INSA),"Lyon, France",,,53.5,49.6,,32.6,83.3
421-430,University of Connecticut,"Storrs, United States",,,,,53.6,71.8,24.3
431-440,University of Pisa,"Pisa, Italy",,47.5,,,24.6,,
431-440,Pontificia Universidad Javeriana,"Bogotá, Colombia",,40.5,70.8,,,,
431-440,Jagiellonian University,"Krakow, Poland",,34.4,40.9,42.7,,,
431-440,Florida State University,"Tallahassee, United States",,31.5,,,46.7,,
431-440,Taras Shevchenko National University of Kyiv,"Kyiv, Ukraine",,30.7,,65.9,,,
431-440,The University of Georgia,"Athens, United States",,28.8,,,35.8,50.2,
431-440,Beihang University (former BUAA),"Beijing, China (Mainland)",,,,32.2,45,,
431-440,HUFS - Hankuk (Korea) University of Foreign Studies,"Seoul, South Korea",,,33.6,75,,37.2,32.3
431-440,Sharif University of Technology,"Tehran, Iran, Islamic Republic of",,,,,92.2,,
431-440,Singapore Management University,Singapore,,,55.1,,33.7,100,55.4
431-440,Universitat Politècnica de València,"València, Spain",,,35.7,49.9,,,
441-450,Universität Bremen,"Bremen, Germany",,30.3,,33.5,,31,23.3
441-450,Huazhong University of Science and Technology,"Wuhan, China (Mainland)",,30.2,,,48.8,,
441-450,University of Trento,"Trento, Italy",,28.2,,,48.5,44,
441-450,American University of Sharjah,"Sharjah, United Arab Emirates",,,48.5,,,100,100
441-450,Auckland University of Technology (AUT),"Auckland, New Zealand",,,31.1,,,99,99.2
441-450,Chang Gung University,"Taoyuan City, Taiwan",,,,70.2,50.1,,
441-450,Dongguk University,"Seoul, South Korea",,,,77.1,,,25.3
441-450,Sabanci University,"Istanbul, Turkey",,,,45.2,,48,
441-450,Swinburne University of Technology,"Melbourne, Australia",,,31.1,,30.2,92,94.2
441-450,Universidad de Palermo (UP),"Buenos Aires, Argentina",,,45.3,56.2,,37.1,95.5
441-450,"University of Maryland, Baltimore County","Baltimore, United States",,,,,81.3,,
451-460,University of Florence,"Florence, Italy",,43.7,,,,,
451-460,University of Coimbra,"Coimbra, Portugal",,35.2,,,31,,
451-460,Shanghai University,"Shanghai, China (Mainland)",,32.4,32.4,29.6,22.5,,
451-460,Pusan National University,"Busan, South Korea",,30.9,,36.2,22,,
451-460,York University,"Toronto, Canada",,29.5,44.9,,,33.1,45.5
451-460,Ruhr-Universität Bochum,"Bochum, Germany",,28.1,,,42.3,22,36.6
451-460,Xiamen University,"Xiamen, China (Mainland)",,27.6,,25.2,42.4,,
451-460,Koç University,"Istanbul, Turkey",,,34.9,40.2,,43.7,
451-460,Oregon State University,"Corvallis, United States",,,,28.7,35.7,60.2,28.5
451-460,Sultan Qaboos University,"Muscat, Oman",,,,62.1,,100,
461-470,Universidade Federal do Rio Grande Do Sul,"Porto Alegre, Brazil",,35.2,,,,84.8,
461-470,Université Paul Sabatier Toulouse III,"Toulouse, France",,33.3,,41.1,,,39.8
461-470,Karl-Franzens-Universitaet Graz,"Graz, Austria",,31.2,,,,54.9,35.8
461-470,Arabian Gulf University,"Manama, Bahrain",,,,64.6,,100,100
461-470,Bond University,"Gold Coast, Australia",,,,49,,98.4,92.5
461-470,Concordia University,"Montreal, Canada",,,43.6,,29.3,69.7,88.3
461-470,University of New Mexico,"Albuquerque, United States",,,,50.9,32.8,,
461-470,University of Oklahoma,"Norman, United States",,,,61.8,,32.6,
461-470,"The University of Tennessee, Knoxville","Knoxville, United States",,,,28.8,56.5,,
461-470,Wayne State University,"Detroit, United States",,,,76.6,,21.8,21.5
471-480,Universidad de Santiago de Chile (USACH),"Santiago, Chile",,42.1,61.1,,,,
471-480,Universidad de Costa Rica,"San Jose, Costa Rica",,39.3,41.8,28.8,,,
471-480,Middle East Technical University,"Ankara, Turkey",,33.9,54.7,,,,
471-480,Bogaziçi Üniversitesi,"Istanbul, Turkey",,27.8,48.2,,33.4,26.8,21.9
471-480,Clark University,"Worcester, United States",,,,35.4,50.5,,83
471-480,Lappeenranta-Lahti University of Technology LUT,"Lappeenranta , Finland",,,,32.9,,42.1,30.4
471-480,East China University of Science and Technology,"Shanghai, China (Mainland)",,,,,77.8,,
471-480,Technische Universität Braunschweig,"Braunschweig, Germany",,,32.4,65.1,,,34.3
471-480,Tokyo Metropolitan University,"Tokyo, Japan",,,,,67.7,,
471-480,University of Saskatchewan,"Saskatoon, Canada",,,,26.7,34.9,61.7,55
481-490,Pontificia Universidad Católica del Perú,"Lima, Peru",,42,47.7,,,,
481-490,"University of Rome ""Tor Vergata""","Rome, Italy",,36.9,,,28.7,,21.1
481-490,University of Naples - Federico II,"Naples, Italy",,32.8,,,47.3,,
481-490,Hitotsubashi University,"Kunitachi City, Japan",,30.7,53.9,,,22.7,28.8
481-490,Dalian University of Technology,"Dalian, China (Mainland)",,,,,71.9,,
481-490,Indian Institute of Technology Guwahati (IITG),"Guwahati, India",,,,25.6,62.3,,
481-490,Lehigh University,"Bethlehem, United States",,,,32.1,55.3,,50.7
481-490,Tianjin University,"Nankai, China (Mainland)",,,,28,47.8,,
481-490,Universidad de Zaragoza,"Huesca, Spain",,,,47,,,
481-490,Vilnius University,"Vilnius, Lithuania",,,34.9,58.9,,,
491-500,Aristotle University of Thessaloniki,"Thessaloniki, Greece",,34.8,33.3,,29.7,,21
491-500,Università Cattolica del Sacro Cuore,"Milan, Italy",,29.2,66.3,,,17.7,
491-500,Aberystwyth University,"Aberystwyth, United Kingdom",,,,,33.3,68.8,68.9
491-500,Iran University of Science and Technology,"Tehran, Iran, Islamic Republic of",,,,,97.7,,
491-500,Jilin University,"Changchun, China (Mainland)",,,,40,22.5,,
491-500,The Catholic University of Korea,"Gyeonggi, South Korea",,,,89,,,
491-500,Saint Joseph University of Beirut (USJ),"Beirut, Lebanon",,,,80.3,,61.6,
491-500,University of Nebraska - Lincoln,"Lincoln, United States",,,,24.9,38.7,77.4,30.6
491-500,University of South Florida,"Tampa, United States",,,,,53.3,49.5,26.1
491-500,Yokohama City University,"Yokohama City, Japan",,,,99.6,,,
501-550,Gadjah Mada University,"Yogyakarta, Indonesia",,40.9,32.8,,,18,
501-550,University of Delhi,"New Delhi, India",,40.1,56.4,,,,
501-550,City University of New York,"New York City, United States",,39,,,,,
501-550,University of Bordeaux,"Talence, France",,38.2,,,,26.9,22.8
501-550,Pontifícia Universidade Católica do Rio de Janeiro,"Rio de Janeiro, Brazil",,36.5,36.4,,,18.8,
501-550,University of Granada,"Granada, Spain",,36.1,,,,,24.3
501-550,Université du Québec,"Québec, Canada",,31.5,35.2,,,25.9,
501-550,Universität  Leipzig,"Leipzig, Germany",,31.2,,,29.3,,31.9
501-550,Université Claude Bernard Lyon 1,"Villeurbanne, France",,30.6,,,30.2,,24.3
501-550,Ateneo de Manila University,"Quezon City, Philippines",,30.4,45.2,33,,,
501-550,UNESP,"SÃ£o Paulo, Brazil",,28.8,,35.8,,,
501-550,Abo Akademi University,"Turku, Finland",,,,32.9,30.2,46.5,46
501-550,Amirkabir University of Technology,"Tehran, Iran, Islamic Republic of",,,,,94.3,,
501-550,Jeonbuk National University,"Jeonju, South Korea",,,,51,,,
501-550,Czech Technical University in Prague,"Prague, Czech Republic",,,53.9,,,,39
501-550,Drexel University,"Philadelphia, United States",,,,40.3,27.6,38.1,55.3
501-550,Instituto Tecnológico de Buenos Aires (ITBA),"Buenos Aires, Argentina",,,48.2,65.7,,,
501-550,Abai Kazakh National Pedagogical University,"Almaty, Kazakhstan",,,,86.7,,,
501-550,Kazan (Volga region) Federal University,"Kazan, Russia",,,,74.3,,,
501-550,King Khalid University,"Abha, Saudi Arabia",,,,67.6,,100,27.1
501-550,"Kingston University, London","Kingston upon Thames, United Kingdom",,,43.3,,,70.1,97
501-550,Martin-Luther-Universität Halle-Wittenberg,"Halle, Germany",,,,70.9,,,22.4
501-550,Michigan Technological University,"Houghton, United States",,,,34,41.5,21.5,33.7
501-550,Missouri University of Science and Technology,"Rolla, United States",,,,,57.3,71.8,39.5
501-550,Murdoch University,"Murdoch, Australia",,,,,27.8,96.9,42.1
501-550,Nagasaki University,"Nagasaki City, Japan",,,,85.4,,,
501-550,National Chung Hsing University,"Taichung City, Taiwan",,,,,50.2,,
501-550,National University of Sciences And Technology (NUST) Islamabad,"Islamabad, Pakistan",,,38.1,63.9,,,
501-550,Okayama University,"Okayama City, Japan",,,,76.1,,,
501-550,Pontifícia Universidade Católica de São Paulo,"São Paulo, Brazil",,,45.2,55.2,,,
501-550,Sejong University,"Seoul, South Korea",,,31.3,,23.9,17.5,
501-550,Shandong University,"Jinan, China (Mainland)",,,,29,28.7,,
501-550,Southeast University,"Nanjing, China (Mainland)",,,,31.8,49.4,,
501-550,Tulane University,"New Orleans, United States",,,,63.2,23,,25.2
501-550,Umm Al-Qura University,"Makkah, Saudi Arabia",,,,57.7,,99.4,22.3
501-550,Universidad de San Andrés - UdeSA,"Buenos Aires, Argentina",,,47.7,67.8,,,
501-550,Universidade Federal de São Paulo,"São Paulo, Brazil",,,,68.7,,,
501-550,University of Bayreuth,"Bayreuth, Germany",,,,27.3,33,38.5,
501-550,Universität des Saarlandes,"Saarbrücken, Germany",,,,35.5,23.3,46.8,47.8
501-550,Universität Regensburg,"Regensburg, Germany",,,,28.5,35.1,39.3,
501-550,University of Guelph,"Guelph, Canada",,,,,40.1,49.1,
501-550,University of Kentucky,"Lexington, United States",,,,,45.7,20.2,
501-550,University of Limerick,"Limerick, Ireland",,,31.2,,25,97.9,24.6
501-550,University of Macau,Macau SAR,,,,,23,100,96.8
501-550,University of Manitoba,"Winnipeg, Canada",,,,42.7,24.2,,56.2
501-550,University of Mons,"Mons, Belgium",,,,,77.2,31.8,52.5
501-550,University of Szeged,"Szeged, Hungary",,,,43.9,,,42.5
501-550,University of Tampere,"Tampere, Finland",,,,35.2,,17.4,
551-600,Universidad Nacional de La Plata (UNLP),"La Plata, Argentina",,40.6,36.5,,,,
551-600,Chiang Mai University,"Chiang Mai, Thailand",,37.4,,,,,
551-600,Universidade Federal de Minas Gerais,"Belo Horizonte, Brazil",,35.4,,,,,
551-600,Cairo University,"Giza, Egypt",,33.9,57.3,,,,
551-600,Universitat de Valencia,"València, Spain",,33.2,,,,,
551-600,University of Pretoria,"Pretoria, South Africa",,31,38.4,,,38.3,
551-600,University of Turin,"Turin, Italy",,30.5,,,29.6,,
551-600,Universidade de Santiago de Compostela,"Santiago de Compostela, Spain",,29.4,,,23.5,,
551-600,American University in Dubai,"Dubai, United Arab Emirates",,,46.3,,,100,100
551-600,Carleton University,"Ottawa, Canada",,,,,31.3,29.1,54.7
551-600,Charles Darwin University,"Casuarina, Australia",,,,,38.1,66.3,98.1
551-600,Chiba University,"Chiba City, Japan",,,,48.4,,,
551-600,William & Mary,"Williamsburg, United States",,,,35,28.2,,
551-600,East China Normal University,"Shanghai, China (Mainland)",,,,28,29.2,,42.2
551-600,Far Eastern Federal University,"Vladivostok, Russia",,,,77.2,,,37.7
551-600,Flinders University,"Adelaide, Australia",,,,,24.9,,55.3
551-600,Howard University,"Washington D.C., United States",,,,71.4,,,
551-600,Inha University,"Incheon, South Korea",,,,70.4,,,
551-600,Johannes Kepler University Linz,"Linz, Austria",,,,,23.3,73.9,21.6
551-600,Kagoshima University,"Kagoshima City, Japan",,,,72.6,,,
551-600,Kanazawa University,"Kanazawa, Japan",,,,55.9,22.1,,
551-600,Keele University,"Keele, United Kingdom",,,,,31.3,57.7,65.1
551-600,Kumamoto University,"Kumamoto City, Japan",,,,62.6,,,
551-600,Lanzhou University,"Lanzhou, China (Mainland)",,,,,58.7,,
551-600,National Research Saratov State University,"Saratov, Russia",,,,100,,,
551-600,National Taipei University of Technology,"Taipei City, Taiwan",,,,35.5,31.6,26.6,
551-600,"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""","Kyiv, Ukraine",,,,65.9,,,
551-600,Philipps-Universität Marburg,"Marburg, Germany",,,,27.7,23.4,23.1,25.8
551-600,Universidad Politécnica de Madrid (UPM),"Madrid, Spain",,,43.1,27.2,,,33.4
551-600,Rhodes University,"Grahamstown, South Africa",,,,,43.1,,80.6
551-600,Sichuan University,"Chengdu, China (Mainland)",,,,26.2,29.3,,
551-600,South China University of Technology,"Guangzhou, China (Mainland)",,,,,65.2,,
551-600,Southern Federal University,"Rostov-on-Don, Russia",,,,81.2,,,
551-600,Syracuse University,"Syracuse, United States",,,,,28.9,,66.4
551-600,TU Dortmund University,"Dortmund, Germany",,,45.6,,,19.3,
551-600,Tokyo University of Agriculture and Technology,"Tokyo, Japan",,,,25.1,46.6,,
551-600,Università degli Studi di Pavia,"Pavia, Italy",,,,,40.7,,
551-600,University of Bradford,"Bradford, United Kingdom",,,,,23.1,55.5,95
551-600,University of Canberra,"Bruce, Australia",,,,,,51.7,72.3
551-600,University of Cincinnati,"Cincinnati, United States",,,,28.8,38.7,,
551-600,University of Hull,"Hull, United Kingdom",,,,,30.1,61.8,59.3
551-600,University of Jordan,"Amman, Jordan",,,37.5,,,34.2,53.4
551-600,University of Massachusetts Boston,"Boston, United States",,,,,27.3,,
551-600,"University of Missouri, Columbia","Columbia, United States",,,,26.2,24.7,44.2,
551-600,University of Oregon,"Eugene, United States",,,,,31.5,,37.3
551-600,University of Science and Technology Beijing,"Beijing, China (Mainland)",,,,,44.3,,
551-600,University of South Carolina,"Columbia, United States",,,,,38,,
551-600,University of Tehran,"Tehran, Iran, Islamic Republic of",,,,,37.6,,
551-600,University of Ulsan,"Ulsan, South Korea",,,,66.2,25.4,,
551-600,University of Vermont,"Burlington, United States",,,,66.8,26.7,,
551-600,Western Sydney University,"Milperra, Australia",,,,,23.3,79.8,37.2
601-650,Universidad de Antioquia,"Medellin, Colombia",,37.6,31.8,,,,
601-650,Universidad Nacional de Córdoba - UNC,"Córdoba, Argentina",,33.8,42.3,,,,
601-650,Universidad de Sevilla,"Seville, Spain",,33.4,,,,,
601-650,Universidad Católica Andres Bello,"Guayana City, Venezuela",,29.6,67.8,,,,
601-650,Pontificia Universidad Católica de Valparaíso,"Valparaíso, Chile",,28.2,39.7,,,22.9,
601-650,Universidade de Brasília,"Brasília, Brazil",,27.6,32.8,,,,
601-650,Universidad de Concepción,"Concepción, Chile",,27.5,34.5,,,,
601-650,Thammasat University,"Bangkok, Thailand",,27.5,31.5,,,,
601-650,Bielefeld University,"Bielefeld, Germany",,27.1,,,,22.2,
601-650,Ajou University,"Suwon, South Korea",,,,55.5,,,
601-650,Bar-Ilan University,"Ramat Gan, Israel",,,,,34.7,39.1,
601-650,Central Queensland University (CQUniversity Australia),"Norman Gardens, Australia",,,,34.6,,98.3,86.1
601-650,Chonnam National University,"Gwangju, South Korea",,,,47,,,
601-650,Clarkson University,"Potsdam, United States",,,,,55.3,41.8,
601-650,Eötvös Loránd University,"Budapest, Hungary",,,,30.8,,,
601-650,Hallym University,"Chuncheon, South Korea",,,,76.8,,,
601-650,Instituto Tecnológico Autónomo de México (ITAM),"Mexico City, Mexico",,,53.4,,,57.2,
601-650,International Islamic University Malaysia (IIUM),"Kuala Lumpur, Malaysia",,,,27.8,,46.9,69.9
601-650,"Lingnan University, Hong Kong","Hong Kong, Hong Kong SAR",,,,27.3,,98.2,44.8
601-650,Auezov South Kazakhstan University (SKU),"Shymkent, Kazakhstan",,,,69.5,,17.4,
